用户名,UID,评论视频标题,评论视频 BV,评论内容,评论时间,IP 属地
"喜欢我神圣分离者吗",26145627,"","opus/1115633689529679895","招笑","2025-09-25","福建"
"悦饮空腋",45100090,"“拒绝女性词汇污名化”吾悦广场你真的让我感到陌生，说好的一起玩抽象，现在你居然背着我们偷偷上大分！","BV1bSRAYBE2w","比起这些，我觉得更应该在意的是明明没比自己小多少，或者才二三十就莫名其妙被叫阿姨之类的。我朋友就吐槽过，为啥不是姐姐，人类能活平均活七八十多岁，咋二三十就是阿姨了[笑哭]","2025-03-07","日本"
"阪本卡夫卡",68105836,"","opus/1115633689529679895","普通用户发台湾相关的视频审核都过不了，这个本来就是很有争议的话题，别人不愿意复述很正常吧","2025-09-25","湖北"
"---IgM---",156805809,"白求恩以为司令吃小灶，谁知一看才知道竟然是……","BV1Asp1zVEkT","10w单位，你在开玩笑吗？实习时候我给阑尾切除术后患者打400w单位老师都嫌少 / 查什么资料？我自己开的处方 / 青霉素这种时间依赖性抗生素每日分3-4次注射很奇怪吗？ / 有什么意义吗？按你的意思是不是要是现在哪个将军不知道三八大盖口径多少你这个野生军迷知道是不是就意味着人家将军就不如你？","2025-09-17","新疆"
"2丶也是一种境界",165436406,"的哥绕道35公里多赚80块，致外地乘客误了飞机：第2天机票涨价了","BV1cQ4y1H7vD","你身边全是好人，别人身边全是坏人","2023-10-26","浙江"
"咬死人猫",276859820,"红箭8反坦克导弹？哈马斯装备升级，在埃及眼皮底下打以军装甲车","BV12Z421M7WZ","别嘎幽默了，红箭就红箭。你的文案只让人觉得你没品","2024-06-25 12:25","广东"
"舒雪莹",332337965,"网友：生产芯片的事先不要着急，先把米尺做好了再指引方向","BV1Y94y1w7tK","这玩意在工地上正常得很。不要见怪不怪的","2023-12-26 21","广东"
"Sparks_Spears",386631872,"","opus/1115633689529679895","是一部分但是护照不同 免签国也不同[呲牙]","2025-09-26","美国"
"DD第二代",390244162,"日本东京羽田机场两飞机相撞 5人死亡","BV11e411v7Tx","如何定义爱国","2024-01-02 22","上海"
"不吃煤气",399351496,"","BV1XzGCzZEfE","那个女的弄个短发应该也不差","2025-04-29 13","江苏"
"lv6复活",516494532,"玩小美评审团至今，最逆天的差评出现了","BV1pe411k7US","看懂了，顾客把不是商品的选项点了46份。这个锅商家得背一半吧[吃瓜]","2023-12-16 09:50","广西"
"我优你",1011891287,"“那一刻，李云龙才意识到和尚已经不在了”","BV1hmadz6EZQ","他的命高一级？ / 你眼里可以不一样，但事情要按规办 / 你眼里可以不一样呀，但事情得按规办 / 按规办的是小孩，按情办的是大人？ / 为什么不是等号？ / 我没有不尊重你的想法，我只是说你当不上司令官 / 你说的话非常有逻辑 / 这跟要按规办没关系","2025-09-10 14:06","河南"
"bili_51684477231",1892454564,"我给外卖下泻药，把小偷拉脱肛了，违法吗？","BV1wH4y1q7GL","属于，而且是故意的，只是对方症状比较轻应该事情不是很大赔点钱可能就没事了，UP猪完全不懂法，只是按照心里喜欢的来，现实会很打脸，除非那个下泻药的家庭背景强大才可能一点事都没有，毕竟法律不外乎人情","2023-11-17 16","安徽"
"fjeizbfurbcuwhei",3493295806221190,"迪士尼这么6吗，这评论区直接把我字体都改了","885058103915053072","那么你知道今天是长津湖战役胜利多少年零多少天吗？","2024-01-13","广东"
"时光荏苒_______",3494357734787464,"重男轻女的地方活该落后！","BV1Cv4y1s7Fx","我就是福建的，从没有被老公家暴过，也没听说过我们这里有什么重男轻女啊。","2023-10-21 22:31:36","河南"
"大蛇丸-office",3546748748302493,"","opus/1115633689529679895","好爱国啊哥🤭🤭🤭","2025-09-25","江西"
