用户名,UID,评论视频标题,评论视频 BV,评论内容,评论时间,IP 属地
"放逐心",23241162,"美军击沉胡塞武装三艘舰船画面，也门10名海军牺牲","BV1J64y1E75R","说干得好的，只敢发弹幕，连在评论区发的勇气都没有，自己都知道自己理亏","2024-01-03 13","北京"
"淡水-河谷",86199039,"美军击沉胡塞武装三艘舰船画面，也门10名海军牺牲","BV1J64y1E75R","袭击公共海域商船的“海军”[抠鼻]，胡赛海盗居然还有牲口洗[笑哭]","2024-01-03 08","江西"
"加里敦共和国",172819744,"生命消逝！乌士兵中炮倒地，一开始破口大骂、后来逐渐没了动静","BV1744y1c7mX","你这就说得不准确了，是俄罗斯先动手进攻乌克兰的，2014年也是俄罗斯先出兵占领克里米亚半岛，不是乌克兰自己能决定的，乌克兰的能决定的只有要不要投降被灭国，这就是弱国的悲剧​","2023-08-12","广东"
"星矢耶",248319124,"美军击沉胡塞武装三艘舰船画面，也门10名海军牺牲","BV1J64y1E75R","胡赛武装作死时刻","2024-01-03 23:22","广东"
"清梯",289191539,"美国海军直升机在红海击沉三艘胡塞武装快艇，打死10人","BV1cw41137rT","大国担当，世界秩序顶梁柱 / 回复 @未闻王名 :小痞子小流氓恐怖分子，不光应该吊打，还应该斩杀！","2024-01-03 17","广东"
"SniperT007",544580202,"美军击沉胡塞武装三艘舰船画面，也门10名海军牺牲","BV1J64y1E75R","一群卖国贼","2024-01-02 22:05","上海"
"展望尽苍穹",636993173,"美军击沉胡塞武装三艘舰船画面，也门10名海军牺牲","BV1J64y1E75R","笑死我了，还隔这和海盗共情呐","2024-01-03 22:53","江苏"
"张元英的小裙子",697464274,"美军击沉胡塞武装三艘舰船画面，也门10名海军牺牲","BV1J64y1E75R","毙命","2024-01-02 20:24","广州"
"福慧具齐",1064075196,"美军击沉胡塞武装三艘舰船画面，也门10名海军牺牲","BV1J64y1E75R","阿Q精神！","2024-01-03 02","广东"
"暄暄暄暄暄丶",1504315500,"美军击沉胡塞武装三艘舰船画面，也门10名海军牺牲","BV1J64y1E75R","《牺  牲》","2024-01-03 15","北京"
"天天当坏蛋",1531597712,"美国海军直升机在红海击沉三艘胡塞武装快艇，打死10人","BV1cw41137rT","乱拦货船，导致航运成本上升，真该死啊","2024-01-03 19","山东"
"哈巴狗训导师",1629465847,"美军击沉胡塞武装三艘舰船画面，也门10名海军牺牲","BV1J64y1E75R","向海盗致敬！[打call]","2024-01-03 08","上海"
"bili_10761955924",3493113796495428,"美军击沉胡塞武装三艘舰船画面，也门10名海军牺牲","BV1J64y1E75R","海盗死亡，航线安全了","2024-01-03 15","四川"
"cr400bF-A-5062",3537125100227435,"以色列向加沙两地发起地面进攻，此前联合国大会通过决议呼吁休战（大白话时事506期）","BV1Uj411e7Ha","这些国家太可恶了","2023-10-29 16","上海"
